sample,signal,dv,spec,n,coef,se,t,p,r2
ex_semis,maturity_index,rev_growth_yoy,2_sector,429,0.05798121655158621,0.02884211710573917,2.010296828732062,0.044399782334695166,0.08494388152271326
ex_semis,maturity_index,rev_growth_yoy,3_size,429,0.03245142961850443,0.029891547292840603,1.0856390035813552,0.27763873658998406,0.1071902333039142
ex_semis,maturity_index,rev_growth_yoy,4_full,429,0.02445638926851147,0.0291307431021991,0.8395388055399534,0.40116702263167936,0.2795568914989338
ex_semis,adoption_score,rev_growth_yoy,1_univariate,429,0.10800436379436626,0.02787612586342311,3.874439523035775,0.00010687037846088702,0.03629554581017447
ex_semis,adoption_score,rev_growth_yoy,2_sector,429,0.0746181327206609,0.030125034438728708,2.476947632123929,0.013251134304470336,0.08958198178655619
ex_semis,adoption_score,rev_growth_yoy,3_size,429,0.050879745219793666,0.03149450944705743,1.6155115959282682,0.10619995121537923,0.1106812604896471
ex_semis,adoption_score,rev_growth_yoy,4_full,429,0.03842016593754899,0.03007320404959355,1.2775547917737835,0.2014064494125265,0.2815475155268259
ex_semis,proficiency_score,rev_growth_yoy,1_univariate,429,0.06634386263528261,0.02718502419470795,2.440456265924443,0.014668721961367903,0.014354582183718101
ex_semis,proficiency_score,rev_growth_yoy,2_sector,429,0.021713319367841922,0.03170287792993619,0.6849005764028322,0.49340666225744056,0.07605764830652162
ex_semis,proficiency_score,rev_growth_yoy,3_size,429,-0.010688134119017078,0.0333907193943118,-0.32009295735143195,0.7488978642538783,0.10455142252438199
ex_semis,proficiency_score,rev_growth_yoy,4_full,429,-0.010525112873946002,0.031043559937038445,-0.339043360210385,0.7345770658544487,0.27816716292033183
ex_semis,impact_score,rev_growth_yoy,1_univariate,429,0.09614653376364286,0.029863149044660503,3.219571171809617,0.0012838248737569327,0.02902956803553236
ex_semis,impact_score,rev_growth_yoy,2_sector,429,0.06238758327564907,0.02831879826305755,2.20304487132969,0.02759158617053678,0.08592266842887686
ex_semis,impact_score,rev_growth_yoy,3_size,429,0.041813991309217896,0.028223099568044155,1.4815520601628795,0.13845952294744496,0.1090111642120638
ex_semis,impact_score,rev_growth_yoy,4_full,429,0.025035307638238417,0.02658402496622509,0.9417425566687394,0.34632446125011085,0.2795950784496759
ex_semis,conc,rev_growth_yoy,1_univariate,395,0.12881608810976006,0.031168892661603775,4.132841339867219,3.583060744436526e-05,0.05666521876711039
ex_semis,conc,rev_growth_yoy,2_sector,395,0.0829371880395927,0.032036293783562826,2.588850901415634,0.009629677915818724,0.1112195608947446
ex_semis,conc,rev_growth_yoy,3_size,395,0.07512437649402061,0.03185850303805347,2.358063604064764,0.018370545078441373,0.14504640328986185
ex_semis,conc,rev_growth_yoy,4_full,395,0.08000150040021099,0.03067452175955888,2.608076534242321,0.009105259381429368,0.25092865400481856
ex_semis,inv,rev_growth_yoy,1_univariate,383,0.10641799724447423,0.033435208535777826,3.1828124275223266,0.001458520668690538,0.02973776660717542
ex_semis,inv,rev_growth_yoy,2_sector,383,0.06313241229593833,0.031153770422541447,2.02647741957611,0.04271588438254119,0.1003316675081497
ex_semis,inv,rev_growth_yoy,3_size,383,0.047950382848247916,0.03039952442876425,1.5773399008465052,0.11471733599059099,0.13401462034520417
ex_semis,inv,rev_growth_yoy,4_full,383,0.041462492602988274,0.02819600647647258,1.4705094013077904,0.1414238413563138,0.23422000044955738
ex_semis,builder_rate,rev_growth_yoy,1_univariate,212,0.02570521210631986,0.03057187817707824,0.8408123294692689,0.4004530788516363,0.002911696434976685
ex_semis,builder_rate,rev_growth_yoy,2_sector,212,0.021019220515200072,0.03149497361960948,0.6673833345303403,0.5045273082579929,0.05936284316066276
ex_semis,builder_rate,rev_growth_yoy,3_size,212,-0.00430382550394675,0.03155201370953355,-0.1364041466122441,0.8915017957961029,0.08898272722758527
ex_semis,builder_rate,rev_growth_yoy,4_full,212,-0.026947410911654774,0.01943073609100197,-1.386844573743845,0.16548916193693908,0.3685139985319462
ex_semis,maturity_index,op_margin_delta_yoy,4_full,340,0.023672379911956254,0.03375913334393291,0.7012140883708611,0.4831694189884501,0.05372552165384237
ex_semis,adoption_score,op_margin_delta_yoy,4_full,340,0.021798715604770244,0.037892876867150024,0.5752721199077898,0.56510727400206,0.053221191124847356
ex_semis,proficiency_score,op_margin_delta_yoy,4_full,340,0.016408745597239066,0.035830519131478604,0.4579544476324179,0.6469851682433817,0.05255025941739078
ex_semis,impact_score,op_margin_delta_yoy,4_full,340,0.02209147432302603,0.031111926882961143,0.7100644844702536,0.4776641489489669,0.05349732428921139
ex_semis,conc,op_margin_delta_yoy,4_full,313,-0.003949416149213885,0.04071913095853199,-0.09699166107537846,0.922733016724467,0.06319661059768722
ex_semis,inv,op_margin_delta_yoy,4_full,304,-0.017627462384507464,0.04023029131611021,-0.43816392593330666,0.6612674568104419,0.0717590424395591
ex_semis,builder_rate,op_margin_delta_yoy,4_full,173,-0.020427076580198315,0.023989982710458508,-0.8514835890770804,0.3945007757244793,0.12162523119732449
ex_semis,maturity_index,fwd_ret_4m,4_full,489,-0.07198134560220587,0.035866227858105025,-2.0069393939886986,0.04475611658870795,0.2017527490070562
ex_semis,adoption_score,fwd_ret_4m,4_full,489,-0.07573688832171052,0.03999556048437882,-1.8936323783058695,0.05827382269966871,0.2016610133607043
ex_semis,proficiency_score,fwd_ret_4m,4_full,489,-0.08977372922757118,0.04191521872923945,-2.1417931708166495,0.03221012922144452,0.20373321290176738
ex_semis,impact_score,fwd_ret_4m,4_full,489,-0.05178554847108751,0.033767570311061264,-1.5335882325570842,0.12513098507955572,0.19859946368836867
ex_semis,conc,fwd_ret_4m,4_full,450,-0.04189009752762611,0.03518126322634119,-1.1906933886405144,0.23377397431078983,0.19934472049364638
ex_semis,inv,fwd_ret_4m,4_full,436,-0.10236549660626867,0.04763421893491975,-2.148990765359783,0.031635131985604525,0.18707850525436398
ex_semis,builder_rate,fwd_ret_4m,4_full,243,-0.02110176576188066,0.058784597570267834,-0.35896759753533714,0.7196193293781032,0.14925550314117841
