signal,dv,spec,n,coef,se,t,p,r2,fdr_significant
proficiency_score,op_margin_delta_yoy,4_full,344,0.015563731307876458,0.03540369155160138,0.4396075840055295,0.6602213468920495,0.05711447965040761,False
impact_score,op_margin_delta_yoy,4_full,344,0.02335042024082002,0.030606338746579063,0.7629275894174029,0.4455065813359934,0.0583670989293712,False
conc,op_margin_delta_yoy,4_full,317,0.0010922810764223446,0.040473099037278054,0.02698782901245815,0.9784694415380439,0.06849975040756551,False
inv,op_margin_delta_yoy,4_full,308,-0.01586838622747252,0.03939091289745659,-0.4028438302199673,0.6870631149752254,0.07824957968629143,False
builder_rate,op_margin_delta_yoy,4_full,176,-0.03371501828630264,0.026122911868011717,-1.2906301738738277,0.1968319478224545,0.09927388432685902,False
maturity_index,fwd_ret_4m,4_full,494,-0.085735826603198,0.038486832643930075,-2.2276664696313944,0.025902764559003463,0.21949340759041236,False
adoption_score,fwd_ret_4m,4_full,494,-0.08174039716145835,0.04223746728196361,-1.935258016674769,0.052958641486470094,0.21796604062479197,False
proficiency_score,fwd_ret_4m,4_full,494,-0.09395593611730578,0.043380500874071526,-2.1658564153062403,0.030322160745197373,0.21960377561317113,False
impact_score,fwd_ret_4m,4_full,494,-0.0728539688546708,0.03771990472850975,-1.9314462583890288,0.05342788925261394,0.21703940400069865,False
conc,fwd_ret_4m,4_full,455,-0.027298455425768572,0.036029207246114296,-0.7576757167953696,0.4486451396646739,0.2152786186709731,False
inv,fwd_ret_4m,4_full,441,-0.06970726501872657,0.05095029126156546,-1.3681426208315024,0.17126743796653054,0.20196236213879815,False
builder_rate,fwd_ret_4m,4_full,247,-0.012594681729844572,0.06141901711774488,-0.20506159689432377,0.8375240000495086,0.17672520892657462,False
